qi,query_item,full_ssa_time,full_result_size,baseline_empty,Baseline_c2_min20_time,Baseline_c2_min20_cands,Baseline_c2_min20_refined,Baseline_c2_min20_result,Baseline_c2_min20_tp,Baseline_c2_min20_fp,Baseline_c2_min20_fn,Baseline_c2_min20_prec,Baseline_c2_min20_recall,Baseline_c2_min20_exact,c3_min20_time,c3_min20_cands,c3_min20_refined,c3_min20_result,c3_min20_tp,c3_min20_fp,c3_min20_fn,c3_min20_prec,c3_min20_recall,c3_min20_exact,c5_min20_time,c5_min20_cands,c5_min20_refined,c5_min20_result,c5_min20_tp,c5_min20_fp,c5_min20_fn,c5_min20_prec,c5_min20_recall,c5_min20_exact,c10_min20_time,c10_min20_cands,c10_min20_refined,c10_min20_result,c10_min20_tp,c10_min20_fp,c10_min20_fn,c10_min20_prec,c10_min20_recall,c10_min20_exact,c20_min20_time,c20_min20_cands,c20_min20_refined,c20_min20_result,c20_min20_tp,c20_min20_fp,c20_min20_fn,c20_min20_prec,c20_min20_recall,c20_min20_exact,c30_min20_time,c30_min20_cands,c30_min20_refined,c30_min20_result,c30_min20_tp,c30_min20_fp,c30_min20_fn,c30_min20_prec,c30_min20_recall,c30_min20_exact,c50_min20_time,c50_min20_cands,c50_min20_refined,c50_min20_result,c50_min20_tp,c50_min20_fp,c50_min20_fn,c50_min20_prec,c50_min20_recall,c50_min20_exact,c2_min50_time,c2_min50_cands,c2_min50_refined,c2_min50_result,c2_min50_tp,c2_min50_fp,c2_min50_fn,c2_min50_prec,c2_min50_recall,c2_min50_exact,c2_min100_time,c2_min100_cands,c2_min100_refined,c2_min100_result,c2_min100_tp,c2_min100_fp,c2_min100_fn,c2_min100_prec,c2_min100_recall,c2_min100_exact,c2_min200_time,c2_min200_cands,c2_min200_refined,c2_min200_result,c2_min200_tp,c2_min200_fp,c2_min200_fn,c2_min200_prec,c2_min200_recall,c2_min200_exact,c2_min300_time,c2_min300_cands,c2_min300_refined,c2_min300_result,c2_min300_tp,c2_min300_fp,c2_min300_fn,c2_min300_prec,c2_min300_recall,c2_min300_exact,c2_min500_time,c2_min500_cands,c2_min500_refined,c2_min500_result,c2_min500_tp,c2_min500_fp,c2_min500_fn,c2_min500_prec,c2_min500_recall,c2_min500_exact,c2_min200_bm2_time,c2_min200_bm2_cands,c2_min200_bm2_refined,c2_min200_bm2_result,c2_min200_bm2_tp,c2_min200_bm2_fp,c2_min200_bm2_fn,c2_min200_bm2_prec,c2_min200_bm2_recall,c2_min200_bm2_exact,c2_min200_bm5_time,c2_min200_bm5_cands,c2_min200_bm5_refined,c2_min200_bm5_result,c2_min200_bm5_tp,c2_min200_bm5_fp,c2_min200_bm5_fn,c2_min200_bm5_prec,c2_min200_bm5_recall,c2_min200_bm5_exact,c2_min200_bm10_time,c2_min200_bm10_cands,c2_min200_bm10_refined,c2_min200_bm10_result,c2_min200_bm10_tp,c2_min200_bm10_fp,c2_min200_bm10_fn,c2_min200_bm10_prec,c2_min200_bm10_recall,c2_min200_bm10_exact,c2_min200_bm20_time,c2_min200_bm20_cands,c2_min200_bm20_refined,c2_min200_bm20_result,c2_min200_bm20_tp,c2_min200_bm20_fp,c2_min200_bm20_fn,c2_min200_bm20_prec,c2_min200_bm20_recall,c2_min200_bm20_exact,c2_pool100_exact_time,c2_pool100_exact_cands,c2_pool100_exact_refined,c2_pool100_exact_result,c2_pool100_exact_tp,c2_pool100_exact_fp,c2_pool100_exact_fn,c2_pool100_exact_prec,c2_pool100_exact_recall,c2_pool100_exact_exact,c2_pool200_exact_time,c2_pool200_exact_cands,c2_pool200_exact_refined,c2_pool200_exact_result,c2_pool200_exact_tp,c2_pool200_exact_fp,c2_pool200_exact_fn,c2_pool200_exact_prec,c2_pool200_exact_recall,c2_pool200_exact_exact,c2_pool300_exact_time,c2_pool300_exact_cands,c2_pool300_exact_refined,c2_pool300_exact_result,c2_pool300_exact_tp,c2_pool300_exact_fp,c2_pool300_exact_fn,c2_pool300_exact_prec,c2_pool300_exact_recall,c2_pool300_exact_exact,c2_pool500_exact_time,c2_pool500_exact_cands,c2_pool500_exact_refined,c2_pool500_exact_result,c2_pool500_exact_tp,c2_pool500_exact_fp,c2_pool500_exact_fn,c2_pool500_exact_prec,c2_pool500_exact_recall,c2_pool500_exact_exact,c2_min200_bm5_pool500_exact_time,c2_min200_bm5_pool500_exact_cands,c2_min200_bm5_pool500_exact_refined,c2_min200_bm5_pool500_exact_result,c2_min200_bm5_pool500_exact_tp,c2_min200_bm5_pool500_exact_fp,c2_min200_bm5_pool500_exact_fn,c2_min200_bm5_pool500_exact_prec,c2_min200_bm5_pool500_exact_recall,c2_min200_bm5_pool500_exact_exact,c2_min200_bm10_pool500_exact_time,c2_min200_bm10_pool500_exact_cands,c2_min200_bm10_pool500_exact_refined,c2_min200_bm10_pool500_exact_result,c2_min200_bm10_pool500_exact_tp,c2_min200_bm10_pool500_exact_fp,c2_min200_bm10_pool500_exact_fn,c2_min200_bm10_pool500_exact_prec,c2_min200_bm10_pool500_exact_recall,c2_min200_bm10_pool500_exact_exact,c2_min500_bm10_pool500_exact_time,c2_min500_bm10_pool500_exact_cands,c2_min500_bm10_pool500_exact_refined,c2_min500_bm10_pool500_exact_result,c2_min500_bm10_pool500_exact_tp,c2_min500_bm10_pool500_exact_fp,c2_min500_bm10_pool500_exact_fn,c2_min500_bm10_pool500_exact_prec,c2_min500_bm10_pool500_exact_recall,c2_min500_bm10_pool500_exact_exact
0,1197,0.55218,0,True,0.00268,20,20,0,0,0,0,1.0,,1,0.0035,30,30,0,0,0,0,1.0,,1,0.02058,50,50,0,0,0,0,1.0,,1,0.01316,100,100,0,0,0,0,1.0,,1,0.02708,200,200,0,0,0,0,1.0,,1,0.0379,300,300,0,0,0,0,1.0,,1,0.06184,500,500,0,0,0,0,1.0,,1,0.00876,50,50,0,0,0,0,1.0,,1,0.014,100,100,0,0,0,0,1.0,,1,0.02416,200,200,0,0,0,0,1.0,,1,0.03797,300,300,0,0,0,0,1.0,,1,0.06262,500,500,0,0,0,0,1.0,,1,0.0264,200,200,0,0,0,0,1.0,,1,0.02506,200,200,0,0,0,0,1.0,,1,0.03316,200,200,0,0,0,0,1.0,,1,0.0271,200,200,0,0,0,0,1.0,,1,0.00597,100,0,0,0,0,0,1.0,,1,0.00836,200,0,0,0,0,0,1.0,,1,0.01328,300,0,0,0,0,0,1.0,,1,0.02338,500,0,0,0,0,0,1.0,,1,0.00974,200,0,0,0,0,0,1.0,,1,0.00929,200,0,0,0,0,0,1.0,,1,0.02522,500,0,0,0,0,0,1.0,,1
1,1522,0.54848,2,False,0.00255,20,20,2,2,0,0,1.0,1.0,1,0.00296,30,30,2,2,0,0,1.0,1.0,1,0.02123,50,50,2,2,0,0,1.0,1.0,1,0.01447,100,100,2,2,0,0,1.0,1.0,1,0.02879,200,200,2,2,0,0,1.0,1.0,1,0.03944,300,300,2,2,0,0,1.0,1.0,1,0.06316,500,500,2,2,0,0,1.0,1.0,1,0.00864,50,50,2,2,0,0,1.0,1.0,1,0.01399,100,100,2,2,0,0,1.0,1.0,1,0.02504,200,200,2,2,0,0,1.0,1.0,1,0.04067,300,300,2,2,0,0,1.0,1.0,1,0.08651,500,500,2,2,0,0,1.0,1.0,1,0.08149,200,200,2,2,0,0,1.0,1.0,1,0.04428,200,200,2,2,0,0,1.0,1.0,1,0.03069,200,200,2,2,0,0,1.0,1.0,1,0.03052,200,200,2,2,0,0,1.0,1.0,1,0.01056,100,2,2,2,0,0,1.0,1.0,1,0.01244,200,2,2,2,0,0,1.0,1.0,1,0.01659,300,2,2,2,0,0,1.0,1.0,1,0.02524,500,2,2,2,0,0,1.0,1.0,1,0.01155,200,2,2,2,0,0,1.0,1.0,1,0.01075,200,2,2,2,0,0,1.0,1.0,1,0.02524,500,2,2,2,0,0,1.0,1.0,1
2,1337,0.56542,0,True,0.00258,20,20,0,0,0,0,1.0,,1,0.00333,30,30,0,0,0,0,1.0,,1,0.02416,50,50,0,0,0,0,1.0,,1,0.01469,100,100,0,0,0,0,1.0,,1,0.02559,200,200,0,0,0,0,1.0,,1,0.03854,300,300,0,0,0,0,1.0,,1,0.06346,500,500,0,0,0,0,1.0,,1,0.00888,50,50,0,0,0,0,1.0,,1,0.01586,100,100,0,0,0,0,1.0,,1,0.04244,200,200,0,0,0,0,1.0,,1,0.04033,300,300,0,0,0,0,1.0,,1,0.06436,500,500,0,0,0,0,1.0,,1,0.03282,200,200,0,0,0,0,1.0,,1,0.02928,200,200,0,0,0,0,1.0,,1,0.02763,200,200,0,0,0,0,1.0,,1,0.02508,200,200,0,0,0,0,1.0,,1,0.00635,100,0,0,0,0,0,1.0,,1,0.00868,200,0,0,0,0,0,1.0,,1,0.01361,300,0,0,0,0,0,1.0,,1,0.02724,500,0,0,0,0,0,1.0,,1,0.00891,200,0,0,0,0,0,1.0,,1,0.01227,200,0,0,0,0,0,1.0,,1,0.02576,500,0,0,0,0,0,1.0,,1
3,263,0.55905,0,True,0.00269,20,20,0,0,0,0,1.0,,1,0.00302,30,30,0,0,0,0,1.0,,1,0.01049,50,50,0,0,0,0,1.0,,1,0.01214,100,100,0,0,0,0,1.0,,1,0.02553,200,200,0,0,0,0,1.0,,1,0.043,300,300,0,0,0,0,1.0,,1,0.06752,500,500,0,0,0,0,1.0,,1,0.00991,50,50,0,0,0,0,1.0,,1,0.01285,100,100,0,0,0,0,1.0,,1,0.02762,200,200,0,0,0,0,1.0,,1,0.0395,300,300,0,0,0,0,1.0,,1,0.06324,500,500,0,0,0,0,1.0,,1,0.0318,200,200,0,0,0,0,1.0,,1,0.02661,200,200,0,0,0,0,1.0,,1,0.02916,200,200,0,0,0,0,1.0,,1,0.02802,200,200,0,0,0,0,1.0,,1,0.00894,100,0,0,0,0,0,1.0,,1,0.00896,200,0,0,0,0,0,1.0,,1,0.01422,300,0,0,0,0,0,1.0,,1,0.03288,500,0,0,0,0,0,1.0,,1,0.01046,200,0,0,0,0,0,1.0,,1,0.00968,200,0,0,0,0,0,1.0,,1,0.02948,500,0,0,0,0,0,1.0,,1
4,2335,0.57174,0,True,0.00335,20,20,0,0,0,0,1.0,,1,0.00341,30,30,0,0,0,0,1.0,,1,0.00981,50,50,0,0,0,0,1.0,,1,0.0138,100,100,0,0,0,0,1.0,,1,0.02688,200,200,0,0,0,0,1.0,,1,0.0417,300,300,0,0,0,0,1.0,,1,0.06275,500,500,0,0,0,0,1.0,,1,0.00907,50,50,0,0,0,0,1.0,,1,0.01427,100,100,0,0,0,0,1.0,,1,0.02436,200,200,0,0,0,0,1.0,,1,0.04046,300,300,0,0,0,0,1.0,,1,0.06445,500,500,0,0,0,0,1.0,,1,0.02907,200,200,0,0,0,0,1.0,,1,0.02622,200,200,0,0,0,0,1.0,,1,0.03017,200,200,0,0,0,0,1.0,,1,0.02631,200,200,0,0,0,0,1.0,,1,0.00769,100,0,0,0,0,0,1.0,,1,0.00852,200,0,0,0,0,0,1.0,,1,0.01516,300,0,0,0,0,0,1.0,,1,0.02994,500,0,0,0,0,0,1.0,,1,0.01129,200,0,0,0,0,0,1.0,,1,0.00956,200,0,0,0,0,0,1.0,,1,0.02419,500,0,0,0,0,0,1.0,,1
5,2908,0.59302,0,True,0.00285,20,20,0,0,0,0,1.0,,1,0.00342,30,30,0,0,0,0,1.0,,1,0.00819,50,50,0,0,0,0,1.0,,1,0.01605,100,100,0,0,0,0,1.0,,1,0.02669,200,200,0,0,0,0,1.0,,1,0.04323,300,300,0,0,0,0,1.0,,1,0.06676,500,500,0,0,0,0,1.0,,1,0.00614,50,50,0,0,0,0,1.0,,1,0.01542,100,100,0,0,0,0,1.0,,1,0.0272,200,200,0,0,0,0,1.0,,1,0.04251,300,300,0,0,0,0,1.0,,1,0.0689,500,500,0,0,0,0,1.0,,1,0.02526,200,200,0,0,0,0,1.0,,1,0.02506,200,200,0,0,0,0,1.0,,1,0.02796,200,200,0,0,0,0,1.0,,1,0.02719,200,200,0,0,0,0,1.0,,1,0.0071,100,0,0,0,0,0,1.0,,1,0.00891,200,0,0,0,0,0,1.0,,1,0.01418,300,0,0,0,0,0,1.0,,1,0.02589,500,0,0,0,0,0,1.0,,1,0.00899,200,0,0,0,0,0,1.0,,1,0.01214,200,0,0,0,0,0,1.0,,1,0.02427,500,0,0,0,0,0,1.0,,1
6,1916,0.5965,0,True,0.00305,20,20,0,0,0,0,1.0,,1,0.00313,30,30,0,0,0,0,1.0,,1,0.01906,50,50,0,0,0,0,1.0,,1,0.01518,100,100,0,0,0,0,1.0,,1,0.0289,200,200,0,0,0,0,1.0,,1,0.03833,300,300,0,0,0,0,1.0,,1,0.06366,500,500,0,0,0,0,1.0,,1,0.00597,50,50,0,0,0,0,1.0,,1,0.01448,100,100,0,0,0,0,1.0,,1,0.02795,200,200,0,0,0,0,1.0,,1,0.03824,300,300,0,0,0,0,1.0,,1,0.06283,500,500,0,0,0,0,1.0,,1,0.02738,200,200,0,0,0,0,1.0,,1,0.02515,200,200,0,0,0,0,1.0,,1,0.02655,200,200,0,0,0,0,1.0,,1,0.02504,200,200,0,0,0,0,1.0,,1,0.00639,100,0,0,0,0,0,1.0,,1,0.00868,200,0,0,0,0,0,1.0,,1,0.01386,300,0,0,0,0,0,1.0,,1,0.03134,500,0,0,0,0,0,1.0,,1,0.01261,200,0,0,0,0,0,1.0,,1,0.00975,200,0,0,0,0,0,1.0,,1,0.02348,500,0,0,0,0,0,1.0,,1
7,2096,0.55122,0,True,0.00251,20,20,0,0,0,0,1.0,,1,0.00299,30,30,0,0,0,0,1.0,,1,0.00811,50,50,0,0,0,0,1.0,,1,0.01223,100,100,0,0,0,0,1.0,,1,0.02703,200,200,0,0,0,0,1.0,,1,0.03828,300,300,0,0,0,0,1.0,,1,0.06202,500,500,0,0,0,0,1.0,,1,0.00872,50,50,0,0,0,0,1.0,,1,0.01381,100,100,0,0,0,0,1.0,,1,0.02585,200,200,0,0,0,0,1.0,,1,0.03873,300,300,0,0,0,0,1.0,,1,0.06273,500,500,0,0,0,0,1.0,,1,0.02658,200,200,0,0,0,0,1.0,,1,0.02535,200,200,0,0,0,0,1.0,,1,0.03589,200,200,0,0,0,0,1.0,,1,0.02875,200,200,0,0,0,0,1.0,,1,0.00474,100,0,0,0,0,0,1.0,,1,0.0091,200,0,0,0,0,0,1.0,,1,0.01884,300,0,0,0,0,0,1.0,,1,0.02349,500,0,0,0,0,0,1.0,,1,0.0086,200,0,0,0,0,0,1.0,,1,0.01105,200,0,0,0,0,0,1.0,,1,0.02368,500,0,0,0,0,0,1.0,,1
8,827,0.56857,0,True,0.00254,20,20,0,0,0,0,1.0,,1,0.00301,30,30,0,0,0,0,1.0,,1,0.0088,50,50,0,0,0,0,1.0,,1,0.01494,100,100,0,0,0,0,1.0,,1,0.02492,200,200,0,0,0,0,1.0,,1,0.04214,300,300,0,0,0,0,1.0,,1,0.06324,500,500,0,0,0,0,1.0,,1,0.00573,50,50,0,0,0,0,1.0,,1,0.01387,100,100,0,0,0,0,1.0,,1,0.02492,200,200,0,0,0,0,1.0,,1,0.04042,300,300,0,0,0,0,1.0,,1,0.06732,500,500,0,0,0,0,1.0,,1,0.02718,200,200,0,0,0,0,1.0,,1,0.02572,200,200,0,0,0,0,1.0,,1,0.02749,200,200,0,0,0,0,1.0,,1,0.02612,200,200,0,0,0,0,1.0,,1,0.00698,100,0,0,0,0,0,1.0,,1,0.00868,200,0,0,0,0,0,1.0,,1,0.01379,300,0,0,0,0,0,1.0,,1,0.02766,500,0,0,0,0,0,1.0,,1,0.00963,200,0,0,0,0,0,1.0,,1,0.00955,200,0,0,0,0,0,1.0,,1,0.02471,500,0,0,0,0,0,1.0,,1
9,1335,0.56047,0,True,0.00255,20,20,0,0,0,0,1.0,,1,0.00305,30,30,0,0,0,0,1.0,,1,0.00942,50,50,0,0,0,0,1.0,,1,0.01493,100,100,0,0,0,0,1.0,,1,0.02393,200,200,0,0,0,0,1.0,,1,0.03872,300,300,0,0,0,0,1.0,,1,0.06436,500,500,0,0,0,0,1.0,,1,0.00764,50,50,0,0,0,0,1.0,,1,0.01753,100,100,0,0,0,0,1.0,,1,0.025,200,200,0,0,0,0,1.0,,1,0.03998,300,300,0,0,0,0,1.0,,1,0.06286,500,500,0,0,0,0,1.0,,1,0.02664,200,200,0,0,0,0,1.0,,1,0.02691,200,200,0,0,0,0,1.0,,1,0.02644,200,200,0,0,0,0,1.0,,1,0.02732,200,200,0,0,0,0,1.0,,1,0.00581,100,0,0,0,0,0,1.0,,1,0.00965,200,0,0,0,0,0,1.0,,1,0.01425,300,0,0,0,0,0,1.0,,1,0.02746,500,0,0,0,0,0,1.0,,1,0.00831,200,0,0,0,0,0,1.0,,1,0.00927,200,0,0,0,0,0,1.0,,1,0.02597,500,0,0,0,0,0,1.0,,1
10,1061,0.54976,159,False,0.00254,20,20,20,20,0,139,1.0,0.12579,0,0.00296,30,30,30,30,0,129,1.0,0.18868,0,0.00715,50,50,50,50,0,109,1.0,0.31447,0,0.02188,100,100,100,100,0,59,1.0,0.62893,0,0.02689,200,200,159,159,0,0,1.0,1.0,1,0.04241,300,300,160,159,1,0,0.99375,1.0,0,0.06559,500,500,159,159,0,0,1.0,1.0,1,0.0076,50,50,50,50,0,109,1.0,0.31447,0,0.01224,100,100,100,100,0,59,1.0,0.62893,0,0.02655,200,200,159,159,0,0,1.0,1.0,1,0.03931,300,300,160,159,1,0,0.99375,1.0,0,0.06381,500,500,159,159,0,0,1.0,1.0,1,0.0312,200,200,159,159,0,0,1.0,1.0,1,0.06068,268,268,161,159,2,0,0.98758,1.0,0,0.10776,394,394,160,159,1,0,0.99375,1.0,0,0.10034,708,708,159,159,0,0,1.0,1.0,1,0.0277,100,100,100,100,0,59,1.0,0.62893,0,0.03144,200,159,159,159,0,0,1.0,1.0,1,0.04063,300,160,159,159,0,0,1.0,1.0,1,0.05029,500,159,159,159,0,0,1.0,1.0,1,0.03526,268,161,159,159,0,0,1.0,1.0,1,0.04286,394,160,159,159,0,0,1.0,1.0,1,0.04986,500,159,159,159,0,0,1.0,1.0,1
11,2033,0.56155,0,True,0.00252,20,20,0,0,0,0,1.0,,1,0.00318,30,30,0,0,0,0,1.0,,1,0.01299,50,50,0,0,0,0,1.0,,1,0.0164,100,100,0,0,0,0,1.0,,1,0.02413,200,200,0,0,0,0,1.0,,1,0.03805,300,300,0,0,0,0,1.0,,1,0.06554,500,500,0,0,0,0,1.0,,1,0.00723,50,50,0,0,0,0,1.0,,1,0.01247,100,100,0,0,0,0,1.0,,1,0.02596,200,200,0,0,0,0,1.0,,1,0.03976,300,300,0,0,0,0,1.0,,1,0.06307,500,500,0,0,0,0,1.0,,1,0.02694,200,200,0,0,0,0,1.0,,1,0.0262,200,200,0,0,0,0,1.0,,1,0.0262,200,200,0,0,0,0,1.0,,1,0.02464,200,200,0,0,0,0,1.0,,1,0.00577,100,0,0,0,0,0,1.0,,1,0.00831,200,0,0,0,0,0,1.0,,1,0.0137,300,0,0,0,0,0,1.0,,1,0.03401,500,0,0,0,0,0,1.0,,1,0.00996,200,0,0,0,0,0,1.0,,1,0.00936,200,0,0,0,0,0,1.0,,1,0.02519,500,0,0,0,0,0,1.0,,1
12,1279,0.56974,0,True,0.00262,20,20,0,0,0,0,1.0,,1,0.00402,30,30,0,0,0,0,1.0,,1,0.04259,50,50,0,0,0,0,1.0,,1,0.04151,100,100,0,0,0,0,1.0,,1,0.03064,200,200,0,0,0,0,1.0,,1,0.04193,300,300,0,0,0,0,1.0,,1,0.06852,500,500,0,0,0,0,1.0,,1,0.00612,50,50,0,0,0,0,1.0,,1,0.01604,100,100,0,0,0,0,1.0,,1,0.03136,200,200,0,0,0,0,1.0,,1,0.04163,300,300,0,0,0,0,1.0,,1,0.06843,500,500,0,0,0,0,1.0,,1,0.03619,200,200,0,0,0,0,1.0,,1,0.02736,200,200,0,0,0,0,1.0,,1,0.03384,200,200,0,0,0,0,1.0,,1,0.02588,200,200,0,0,0,0,1.0,,1,0.00805,100,0,0,0,0,0,1.0,,1,0.00917,200,0,0,0,0,0,1.0,,1,0.01468,300,0,0,0,0,0,1.0,,1,0.03025,500,0,0,0,0,0,1.0,,1,0.00993,200,0,0,0,0,0,1.0,,1,0.00999,200,0,0,0,0,0,1.0,,1,0.02623,500,0,0,0,0,0,1.0,,1
13,203,0.60226,0,True,0.00275,20,20,0,0,0,0,1.0,,1,0.00324,30,30,0,0,0,0,1.0,,1,0.01185,50,50,0,0,0,0,1.0,,1,0.01305,100,100,0,0,0,0,1.0,,1,0.02721,200,200,0,0,0,0,1.0,,1,0.03884,300,300,0,0,0,0,1.0,,1,0.06426,500,500,0,0,0,0,1.0,,1,0.00458,50,50,0,0,0,0,1.0,,1,0.01467,100,100,0,0,0,0,1.0,,1,0.0523,200,200,0,0,0,0,1.0,,1,0.07728,300,300,0,0,0,0,1.0,,1,0.09146,500,500,0,0,0,0,1.0,,1,0.03274,200,200,0,0,0,0,1.0,,1,0.02722,200,200,0,0,0,0,1.0,,1,0.02921,200,200,0,0,0,0,1.0,,1,0.02733,200,200,0,0,0,0,1.0,,1,0.00833,100,0,0,0,0,0,1.0,,1,0.01117,200,0,0,0,0,0,1.0,,1,0.01681,300,0,0,0,0,0,1.0,,1,0.03311,500,0,0,0,0,0,1.0,,1,0.01077,200,0,0,0,0,0,1.0,,1,0.01074,200,0,0,0,0,0,1.0,,1,0.02608,500,0,0,0,0,0,1.0,,1
14,2331,0.57921,0,True,0.0026,20,20,0,0,0,0,1.0,,1,0.00326,30,30,0,0,0,0,1.0,,1,0.05531,50,50,0,0,0,0,1.0,,1,0.01945,100,100,0,0,0,0,1.0,,1,0.02837,200,200,0,0,0,0,1.0,,1,0.04404,300,300,0,0,0,0,1.0,,1,0.06972,500,500,0,0,0,0,1.0,,1,0.00846,50,50,0,0,0,0,1.0,,1,0.01351,100,100,0,0,0,0,1.0,,1,0.02548,200,200,0,0,0,0,1.0,,1,0.04191,300,300,0,0,0,0,1.0,,1,0.08577,500,500,0,0,0,0,1.0,,1,0.03239,200,200,0,0,0,0,1.0,,1,0.07799,200,200,0,0,0,0,1.0,,1,0.10142,200,200,0,0,0,0,1.0,,1,0.03029,200,200,0,0,0,0,1.0,,1,0.03191,100,0,0,0,0,0,1.0,,1,0.02437,200,0,0,0,0,0,1.0,,1,0.01684,300,0,0,0,0,0,1.0,,1,0.02838,500,0,0,0,0,0,1.0,,1,0.01054,200,0,0,0,0,0,1.0,,1,0.01326,200,0,0,0,0,0,1.0,,1,0.0273,500,0,0,0,0,0,1.0,,1
15,1558,0.63049,0,True,0.00298,20,20,0,0,0,0,1.0,,1,0.00425,30,30,0,0,0,0,1.0,,1,0.00859,50,50,0,0,0,0,1.0,,1,0.0195,100,100,0,0,0,0,1.0,,1,0.03118,200,200,0,0,0,0,1.0,,1,0.05141,300,300,0,0,0,0,1.0,,1,0.07039,500,500,0,0,0,0,1.0,,1,0.01123,50,50,0,0,0,0,1.0,,1,0.01433,100,100,0,0,0,0,1.0,,1,0.02903,200,200,0,0,0,0,1.0,,1,0.04182,300,300,0,0,0,0,1.0,,1,0.06675,500,500,0,0,0,0,1.0,,1,0.02694,200,200,0,0,0,0,1.0,,1,0.02719,200,200,0,0,0,0,1.0,,1,0.02718,200,200,0,0,0,0,1.0,,1,0.0267,200,200,0,0,0,0,1.0,,1,0.00736,100,0,0,0,0,0,1.0,,1,0.00921,200,0,0,0,0,0,1.0,,1,0.01389,300,0,0,0,0,0,1.0,,1,0.02957,500,0,0,0,0,0,1.0,,1,0.00918,200,0,0,0,0,0,1.0,,1,0.00979,200,0,0,0,0,0,1.0,,1,0.03203,500,0,0,0,0,0,1.0,,1
16,1486,0.5708,0,True,0.0026,20,20,0,0,0,0,1.0,,1,0.00319,30,30,0,0,0,0,1.0,,1,0.00436,50,50,0,0,0,0,1.0,,1,0.01429,100,100,0,0,0,0,1.0,,1,0.02736,200,200,0,0,0,0,1.0,,1,0.03849,300,300,0,0,0,0,1.0,,1,0.06634,500,500,0,0,0,0,1.0,,1,0.0073,50,50,0,0,0,0,1.0,,1,0.01267,100,100,0,0,0,0,1.0,,1,0.02717,200,200,0,0,0,0,1.0,,1,0.04026,300,300,0,0,0,0,1.0,,1,0.0696,500,500,0,0,0,0,1.0,,1,0.02822,200,200,0,0,0,0,1.0,,1,0.02653,200,200,0,0,0,0,1.0,,1,0.02754,200,200,0,0,0,0,1.0,,1,0.03217,200,200,0,0,0,0,1.0,,1,0.00692,100,0,0,0,0,0,1.0,,1,0.00952,200,0,0,0,0,0,1.0,,1,0.0172,300,0,0,0,0,0,1.0,,1,0.02945,500,0,0,0,0,0,1.0,,1,0.01089,200,0,0,0,0,0,1.0,,1,0.00888,200,0,0,0,0,0,1.0,,1,0.0247,500,0,0,0,0,0,1.0,,1
17,2268,0.56269,0,True,0.00256,20,20,0,0,0,0,1.0,,1,0.00319,30,30,0,0,0,0,1.0,,1,0.01693,50,50,0,0,0,0,1.0,,1,0.01589,100,100,0,0,0,0,1.0,,1,0.02537,200,200,0,0,0,0,1.0,,1,0.0377,300,300,0,0,0,0,1.0,,1,0.06681,500,500,0,0,0,0,1.0,,1,0.00757,50,50,0,0,0,0,1.0,,1,0.0144,100,100,0,0,0,0,1.0,,1,0.02769,200,200,0,0,0,0,1.0,,1,0.03899,300,300,0,0,0,0,1.0,,1,0.06403,500,500,0,0,0,0,1.0,,1,0.02886,200,200,0,0,0,0,1.0,,1,0.02485,200,200,0,0,0,0,1.0,,1,0.02767,200,200,0,0,0,0,1.0,,1,0.02826,200,200,0,0,0,0,1.0,,1,0.00495,100,0,0,0,0,0,1.0,,1,0.00869,200,0,0,0,0,0,1.0,,1,0.01487,300,0,0,0,0,0,1.0,,1,0.02793,500,0,0,0,0,0,1.0,,1,0.01201,200,0,0,0,0,0,1.0,,1,0.00973,200,0,0,0,0,0,1.0,,1,0.02806,500,0,0,0,0,0,1.0,,1
18,596,0.56292,0,True,0.00253,20,20,0,0,0,0,1.0,,1,0.00327,30,30,0,0,0,0,1.0,,1,0.00828,50,50,0,0,0,0,1.0,,1,0.01402,100,100,0,0,0,0,1.0,,1,0.0257,200,200,0,0,0,0,1.0,,1,0.03827,300,300,0,0,0,0,1.0,,1,0.067,500,500,0,0,0,0,1.0,,1,0.0044,50,50,0,0,0,0,1.0,,1,0.01788,100,100,0,0,0,0,1.0,,1,0.02882,200,200,0,0,0,0,1.0,,1,0.03914,300,300,0,0,0,0,1.0,,1,0.06563,500,500,0,0,0,0,1.0,,1,0.02922,200,200,0,0,0,0,1.0,,1,0.02733,200,200,0,0,0,0,1.0,,1,0.02764,200,200,0,0,0,0,1.0,,1,0.02772,200,200,0,0,0,0,1.0,,1,0.00499,100,0,0,0,0,0,1.0,,1,0.00867,200,0,0,0,0,0,1.0,,1,0.01339,300,0,0,0,0,0,1.0,,1,0.0282,500,0,0,0,0,0,1.0,,1,0.01101,200,0,0,0,0,0,1.0,,1,0.01904,200,0,0,0,0,0,1.0,,1,0.02627,500,0,0,0,0,0,1.0,,1
